year,week,mean_migrants
2010,4,514.3333333333334
2010,5,275.7142857142857
2010,6,1755
2010,7,5145.142857142857
2010,8,5908.142857142857
2010,9,1388
2010,10,18249.85714285714
2010,11,14268.285714285714
2010,12,18186.85714285714
2010,13,13370
2010,14,11337.57142857143
2010,15,7993
2010,16,7182.571428571428
2010,17,11586.142857142857
2010,18,8731.857142857143
2010,19,2839.5714285714284
2010,20,27069.571428571428
2010,21,16091.42857142857
2010,22,20239.714285714286
2010,23,29008.428571428572
2010,24,3340.4285714285716
2010,25,1480.857142857143
2010,26,957.7142857142857
2010,27,584.4285714285714
2010,28,547.5714285714286
2010,29,435.7142857142857
2010,30,185
